original_index,delta,period,city
3784,-167.1400000000001,1,GRONINGEN
539,-288.6700000000001,1,GRONINGEN
1553,1235.0,1,GRONINGEN
947,112.08999999999992,1,GRONINGEN
790,-785.1500000000001,1,GRONINGEN
988,-595.1800000000001,1,GRONINGEN
3275,174.73999999999978,1,GRONINGEN
2090,-2845.56,1,GRONINGEN
2208,39705.05,1,GRONINGEN
3758,464.6500000000001,1,GRONINGEN
1587,-1022.8,1,GRONINGEN
2467,249.63999999999987,1,GRONINGEN
1059,67.0,1,GRONINGEN
2762,-1301.17,1,GRONINGEN
3360,-324.0,1,GRONINGEN
3126,-1335.44,1,GRONINGEN
2756,-641.1199999999999,1,GRONINGEN
1441,6620.25,1,GRONINGEN
696,-3146.08,1,GRONINGEN
1788,-2199.12,1,GRONINGEN
1865,1019.6199999999999,1,GRONINGEN
2042,1174.69,1,GRONINGEN
993,442.4000000000001,1,GRONINGEN
752,-851.6400000000001,1,GRONINGEN
3006,417.5799999999999,1,GRONINGEN
28,-15829.83,1,GRONINGEN
3300,-1396.4699999999998,1,GRONINGEN
88,-4944.23,1,GRONINGEN
2132,1312.17,1,GRONINGEN
2327,-114.67999999999984,1,GRONINGEN
1578,-369.1300000000001,1,GRONINGEN
3379,407.75,1,GRONINGEN
3225,34.0,1,GRONINGEN
1242,-1111.75,1,GRONINGEN
1468,1386.3999999999996,1,GRONINGEN
1964,2017.92,1,GRONINGEN
634,-1561.21,1,GRONINGEN
2647,-755.24,1,GRONINGEN
354,1614.5100000000002,1,GRONINGEN
339,1095.5,1,GRONINGEN
1123,-395.75,1,GRONINGEN
503,-714.25,1,GRONINGEN
3038,189.11000000000013,1,GRONINGEN
619,124.92999999999984,1,GRONINGEN
2512,-4.960000000000036,1,GRONINGEN
1846,903.2600000000002,1,GRONINGEN
1696,-2027.8200000000002,1,GRONINGEN
752,-851.6400000000001,1,GRONINGEN
2995,10597.8,1,GRONINGEN
2298,-1438.6800000000003,1,GRONINGEN
923,4533.22,1,GRONINGEN
506,-271.56999999999994,1,GRONINGEN
